height,rcpt,rcpt_var,pre_bct,timeout,bct
1,0.0,0.0,3000.0,3000.0,519.4048202832067
2,51.94048202832067,46.74643382548861,238.9262173302751,3000.0,469.3315690582824
3,93.67959073131685,79.6369882756363,412.22754383386206,3000.0,431.57876925202044
4,127.46950858338721,102.08421551493599,535.8063706431312,3000.0,426.85592385825294
5,157.40815011087378,118.82057133818032,632.690435463595,3000.0,511.2882495119765
6,192.79616005098407,138.78772315046155,747.9470526528303,3000.0,568.9925233195439
7,230.41579637784005,158.7666235295858,865.4822904961832,3000.0,533.2752044036982
8,260.7017371804259,170.14730789895447,941.2909687762437,3000.0,663.1380207212021
9,300.9453655345035,189.35184262772887,1058.352736045419,3000.0,511.6057071408876
10,322.0113996951419,189.37608910953057,1079.5157561332642,3000.0,419.2618025274233
11,331.73643997837,179.19101645348283,1048.5005057923013,3000.0,581.5697305263774
12,356.71976903317073,183.7569109574552,1091.7474128629915,3000.0,352.05080980711716
13,356.2528731105654,165.80142619205452,1019.4585778787834,3000.0,505.36170417466946
14,371.16375621697586,162.64107836861842,1021.7280696914495,3000.0,491.22218087262235
15,383.16959868254054,157.18222875076478,1011.8985136855997,3000.0,633.9773510342701
16,408.2503739177135,164.036703587344,1064.3971882670894,3000.0,630.7144103127968
17,430.49677755722183,167.6547965041671,1101.1159635738902,3000.0,438.55782049199087
18,431.3028818506987,151.61481071787964,1037.7621247222173,3000.0,551.1684785112313
19,443.28944151675205,147.2412333455396,1032.2543748989106,3000.0,419.89612941543993
20,440.95011030662084,134.62250810010374,979.4401427070359,3000.0,581.9146682752149
21,455.04656610348025,133.84706750726684,990.4348361325476,3000.0,626.010366196434
22,472.14294611277563,135.849102764906,1015.5393571723996,3000.0,482.0508237104051
23,473.1337338725386,123.15590147220206,965.7573397613469,3000.0,408.02488676736664
24,466.6228491620214,116.70010756444734,933.4232794198108,3000.0,325.68668352504517
25,452.5292325983238,117.71435171533048,923.3866394596457,3000.0,422.2722264602644
26,449.5035319845179,108.66604709622278,884.167720369409,3000.0,357.94262227171623
27,440.3474410132377,106.03992426075266,864.5071380562483,3000.0,414.38237612726743
28,437.7509345246407,97.77278767441472,828.8420852222996,3000.0,385.65840233526995
29,432.54168130570366,92.68383680401661,803.27702852177,3000.0,580.4939894337444
30,447.33691211850777,96.73116085513863,834.2615555390623,3000.0,403.0948384869337
31,442.9127047553504,91.03983139646644,807.0720303412161,807.0720303412161,559.7507425289223
32,489.6479198647791,88.94613052323412,1023.3247030041839,1023.3247030041839,592.7821188956317
33,510.27475967094966,87.0144991336685,1206.3907527402976,1206.3907527402976,456.1335290670491
34,472.37589824821924,37.47400816691965,772.1679635835765,772.1679635835765,458.9024731347799
35,471.0285557368753,32.40442305395481,633.0506710066494,633.0506710066494,671.6895745119964
36,491.0946576143874,150.95681812887815,1698.7492026454127,1698.7492026454127,473.4366879920704
37,489.3288606521557,42.905101753843866,832.5696746829067,832.5696746829067,643.0648020709958
38,566.1968313615757,53.093962440516734,778.5726811236427,778.5726811236427,695.7125601351804
39,592.0999771162967,98.560720961047,1380.5857448046727,1380.5857448046727,642.179574539881
40,597.1079368586552,61.11836266517213,780.4630248541716,780.4630248541716,728.8690967428666
41,623.4601688354976,100.97987138314936,1431.2991399006924,1431.2991399006924,453.7145542388663
42,589.5110459161714,107.9431954419805,1345.1134140100348,1345.1134140100348,428.69189461439544
43,525.1833853954611,106.79802497588902,1272.7695602266842,1272.7695602266842,291.3192326963939
44,455.0241395857409,158.0142186980012,1561.1236704717492,1561.1236704717492,425.0824820342585
45,452.02997383059267,40.05416448650089,732.4091252360988,732.4091252360988,652.9946761652664
46,552.5123249979295,76.3110764950025,1163.0009369579493,1163.0009369579493,499.3790646875272
47,531.2590208737686,36.32306821711748,785.520498393591,785.520498393591,392.242168924447
48,475.65228009403995,45.74047680761257,795.8356177473279,795.8356177473279,743.0717756353254
49,529.1361792022971,197.11608447048673,1711.8326860252173,1711.8326860252173,451.9621826641621
50,498.2665805870431,182.03491581572615,1954.5459071128523,1954.5459071128523,508.839198669172
51,501.43836601168175,24.864240973313827,700.3522937981924,700.3522937981924,527.1197775614702
52,506.5746483216394,20.97704041317908,653.413931213893,653.413931213893,561.1003272533192
53,517.4797841079754,23.241390686395544,680.1695189127443,680.1695189127443,472.2057790835999
54,512.9523836055379,24.991912069949787,712.8876801651362,712.8876801651362,543.4667639222083
55,519.0552596688719,24.46954503499772,665.8725298788582,665.8725298788582,626.8569758222523
56,529.83543128421,82.51114463743335,1189.9245883836768,1189.9245883836768,488.6415304569377
57,525.7160412014828,46.16183752312273,895.0107413864646,895.0107413864646,552.823476776144
58,536.5590154313472,43.17209990529013,881.9358146736683,881.9358146736683,329.6435765938735
59,474.4843837801051,134.67393645813746,1551.8758754452047,1551.8758754452047,719.9428465290828
60,499.03023005500285,177.7932764661087,1921.3764417838725,1921.3764417838725,411.35341668118497
61,420.1210980185667,160.89071695323602,1707.246833644455,1707.246833644455,360.39927796368937
62,372.3436419746648,131.10144636478392,1421.155212892936,1421.155212892936,426.3754030447522
63,399.35952250970854,120.6928897818099,1244.209750982378,1244.209750982378,411.0376197837153
64,407.5341906015133,85.53605160192753,1091.8226034169334,1091.8226034169334,417.6601151869346
65,416.64752272839246,77.08370568758899,956.2334625415153,956.2334625415153,403.12474435124375
66,405.82930002667354,10.142470676645706,476.8265947631935,476.8265947631935,763.4842270067263
67,441.5947927246788,103.66655975826623,1270.9272707908087,1270.9272707908087,505.02131805844874
68,473.3080553915638,67.68991121257558,1014.8273450921685,1014.8273450921685,485.60221816289396
69,478.22572050009586,61.65856985759783,971.4942793608785,971.4942793608785,401.30736872684867
70,416.6910390814981,47.776100006713314,798.8998391352046,798.8998391352046,556.7879221752067
71,542.7782338658359,30.892894158042086,789.9213871301725,789.9213871301725,554.4193746778024
72,553.2552605966057,4.1369920888812,586.3511973076553,586.3511973076553,422.6243790957759
73,435.6874672458589,5.0296016950013795,475.92428080586996,475.92428080586996,518.0846355985574
74,476.88605142220814,33.964787680079674,748.6043528628455,748.6043528628455,525.9389364811225
75,491.60191693988236,34.29979635512408,766.0002877808749,766.0002877808749,611.6132761906483
76,515.6041887900356,65.15444187786842,1036.8397238129828,1036.8397238129828,455.1171363688689
77,461.1658416109855,59.243868214293244,935.1167873253314,935.1167873253314,438.0341241585695
78,456.53949812050234,55.1700187890572,897.89964843296,897.89964843296,560.8829212991247
79,519.1455520276758,49.79695898201392,917.5212238837871,917.5212238837871,468.01277793740053
80,498.6924423915657,47.88522952922904,881.774278625398,881.774278625398,474.4941196082763
81,496.27261011323674,45.27455562680218,858.4690551276542,858.4690551276542,478.8252672076618
82,489.2936729510067,41.79394063845646,823.6451980586585,823.6451980586585,556.7871712068942
83,516.2910722533617,41.66415646996407,849.6043240130742,849.6043240130742,613.0489927806
84,535.6426563588094,73.83211842660793,1052.467485345065,1052.467485345065,604.0267996113298
85,549.3194850093136,70.0071576616896,1109.3767463028303,1109.3767463028303,622.7099528109387
86,556.6585317894761,69.61158399766691,1113.5512037708113,1113.5512037708113,519.2174193628746
87,522.9615306055348,63.02483672216624,1027.1602243828647,1027.1602243828647,554.7646902697608
88,551.5843743033381,57.04038464659188,1007.9074514760732,1007.9074514760732,599.0860882740383
89,556.3345457004082,44.18042678092628,909.7779599478184,909.7779599478184,492.8948254143488
90,549.9905736718023,53.221151814495315,975.7597881877648,975.7597881877648,277.3625297540001
91,468.2021604964616,177.07778284966489,1884.8244232937807,1884.8244232937807,659.8999828450745
92,640.7302006102132,161.28698278818453,1931.0260629156894,1931.0260629156894,632.3827242889654
93,638.2259577138389,130.19823291552234,1679.8118210380176,1679.8118210380176,510.7041964062569
94,523.4563725370151,118.45362723704594,1352.6317631963366,1352.6317631963366,534.9150209840178
95,526.8939670711159,85.32385523980273,1209.4848089895377,1209.4848089895377,568.8606209580994
96,539.4839632372109,79.72913548791131,1177.3170471405015,1177.3170471405015,542.7849871110409
97,539.8140656245939,49.02584988732557,932.0208647231984,932.0208647231984,512.4695344907622
98,520.6728938309117,44.94360083260796,790.3344988265594,790.3344988265594,499.84084862133585
99,518.5896893099541,42.32412481820899,857.182687855626,857.182687855626,681.9407374091053
100,665.6056325991901,26.73071281323269,799.2591966653536,799.2591966653536,636.6027217925878
101,656.9047593572094,20.944905089482734,824.4640000730712,824.4640000730712,431.4178672197866
102,634.3560701434672,130.14088379000142,1675.4831404634785,1675.4831404634785,611.9768899476637
103,629.8802341043065,96.46962189999384,1401.6372093042573,1401.6372093042573,376.09745310384636
104,579.1236779042146,107.12528219003127,1436.1259354244648,1436.1259354244648,404.85873967715634
105,526.844196436097,110.09731710381317,1407.6227332666024,1407.6227332666024,384.4241852307855
106,484.11819307450355,109.05698617780365,1356.5740824969328,1356.5740824969328,448.95251697985907
107,470.05192263664577,91.46547007360027,1201.775683225448,1201.775683225448,516.1864502370585
108,479.27882815672837,86.00968527427325,1081.3466250766412,1081.3466250766412,396.67798114758676
109,462.75865875490007,76.04518144079327,1071.1201102812463,1071.1201102812463,285.9298684504947
110,409.71002166357846,80.81867861802232,1056.2594506077571,1056.2594506077571,439.8286255126749
111,418.74560281830736,74.84511302565684,1017.5065070235621,1017.5065070235621,420.49467770857
112,419.0954177963599,16.088430534899434,547.8028620755554,547.8028620755554,517.5460110867879
113,428.94047712540277,59.59869259079083,905.7300178517294,905.7300178517294,670.2878066897046
114,477.20994303826313,179.72994654537638,1735.3195688558978,1735.3195688558978,589.7410487286479
115,578.4879381596094,162.8822629477426,1881.5460417415502,1881.5460417415502,489.0172806014957
116,497.9643463573071,147.48874322854945,1677.8742921857026,1677.8742921857026,314.6776357324043
117,333.0063067948946,134.57273601194356,1409.588194890443,1409.588194890443,457.3861476451951
118,444.948163560165,122.35926081925221,1423.8222501141827,1423.8222501141827,691.7642337164705
119,617.7194126695788,117.52781684201616,1557.941947405708,1557.941947405708,221.0641097922757
120,340.06070065546663,117.82157164625113,1282.6332738254757,1282.6332738254757,576.8414211482535
121,458.45106090186005,117.87845050626538,1283.6002144457177,1283.6002144457177,552.3935597492989
122,496.0280604408356,111.72715538648518,1389.845303532717,1389.845303532717,479.3948281668773
123,491.0380907586481,101.71876610701374,1304.788219614758,1304.788219614758,651.6699228776079
124,619.5435564538159,94.75952613869156,1377.6197655633482,1377.6197655633482,484.5783583481893
125,592.5505168326906,96.08078937327254,1361.196831818871,1361.196831818871,587.6822207451235
126,591.5768576151772,68.42494362230691,1138.9764065936324,1138.9764065936324,548.7603830205995
127,578.7319152368038,56.88892020047612,1033.8432768406128,1033.8432768406128,408.66369120829717
128,527.7114480282518,63.10480386242397,1032.5498789276435,1032.5498789276435,712.2725407984266
129,564.6236665822868,139.19446718076824,1538.9849368476644,1538.9849368476644,688.7712217206747
130,676.356466206836,113.83852484738235,1587.0646649858948,1587.0646649858948,668.6529995261952
131,671.7343861984516,91.68709721235714,1313.5440666849518,1313.5440666849518,545.6362869998638
132,646.514766358734,92.60623542700846,1387.3646497748018,1387.3646497748018,583.6349363349359
133,633.9388003539744,75.6852868638205,1239.4210952645385,1239.4210952645385,395.9528584277319
134,586.3416119687259,87.15563353153784,1283.5866802210287,1283.5866802210287,537.8970902463041
135,576.6527076242417,77.4756303008178,1196.4577500307842,1196.4577500307842,593.6552256167649
136,580.0532112227463,19.98937598469854,739.9682191003346,739.9682191003346,589.5092984788746
137,581.944428673972,18.746925366718948,731.9198316077236,731.9198316077236,442.87013846554066
138,568.0369996531289,71.95689327715358,1143.6921458703575,1143.6921458703575,475.2101987136223
139,558.7543195591782,77.75050706135474,1180.758376050016,1180.758376050016,604.5931068917381
140,563.3381982924342,66.80182752273949,1097.75281847435,1097.75281847435,632.8738542685943
141,570.2917638900502,65.11393266506133,1091.203225210541,1091.203225210541,438.8304018386028
142,557.1456276849055,97.03470857380616,1333.423296275355,1333.423296275355,486.39031643863217
143,542.9945654356509,92.99166261612741,1286.92786636467,1286.92786636467,572.1777723913989
144,569.259451695824,83.98432842407216,1241.1340790884014,1241.1340790884014,545.8111087541611
145,564.5697831074915,51.3715013887013,975.5417942171018,975.5417942171018,433.69067270695587
146,538.3939610273844,67.37103746821947,1077.3622607731402,1077.3622607731402,522.8270095373022
147,536.8372658783762,40.69064690464677,862.3624411155504,862.3624411155504,524.1951123060728
148,533.0446198066852,31.138305083436453,782.1510604741768,782.1510604741768,495.3736150376449
149,529.2775193297812,32.79766460865633,791.6588361990318,791.6588361990318,546.391397990202
150,532.7002950618653,28.97635227259241,764.5111132426046,764.5111132426046,350.0748604442936
151,496.17520813835097,134.38794815191085,1436.8908452017267,1436.8908452017267,462.76631881471445
152,472.7889856118054,121.95142001642886,1448.4003457432364,1448.4003457432364,446.5210952016852
153,451.77467328370926,110.28163582298838,1334.0277598676162,1334.0277598676162,501.7468991965572
154,496.74967660527244,99.75319449981802,1195.0220381039985,1195.0220381039985,252.9915203723196
155,374.870598488796,110.81613630814722,1150.5835526458266,1150.5835526458266,382.81789903646893
156,382.02316898170164,99.81399568280924,1080.7211387613663,1080.7211387613663,499.1353285582089
157,487.42411260055815,91.00371771029339,1215.4538542829052,1215.4538542829052,391.08936498955813
158,468.15716307835817,84.03575789954671,1140.4432262747318,1140.4432262747318,535.5658088380519
159,488.37975680626624,50.87102261856177,793.6058925176369,793.6058925176369,511.2798844333859
160,490.6697695689782,29.688387190653927,728.1768670942097,728.1768670942097,462.2920478177725
161,465.1298199928931,10.892956679780573,552.2734734311376,552.2734734311376,803.1032076791415
162,532.7244975301428,244.4301348020769,1999.3053063426041,1999.3053063426041,637.8634492445875
163,616.8356589016986,222.0899003561581,2393.5548617509635,2393.5548617509635,472.20971730640747
164,544.522688104053,192.13451444445562,2081.598803659698,2081.598803659698,613.262883520582
165,606.3888639789291,136.55636597361482,1698.8397917678476,1698.8397917678476,593.2771036677955
166,595.8994557300222,123.16296458247601,1581.2031723898303,1581.2031723898303,540.7232216331585
167,584.8642089106495,115.26076685197752,1276.4288100225147,1276.4288100225147,430.41738296515337
168,445.86206555970296,105.27915842623473,1288.0953329695808,1288.0953329695808,368.6054098895255
169,384.05674102356096,24.43411386325538,530.6614242030932,530.6614242030932,621.4875074099234
170,407.7998176621972,194.76233215927914,1965.8984749364304,1965.8984749364304,708.9785111947192
171,618.6249031349626,184.3214597493269,2093.1965811295777,2093.1965811295777,418.18631219745544
172,438.23017129120615,167.89369968376926,1781.37976876136,1781.37976876136,368.37467307198744
173,375.36022289390934,135.7120697113998,1461.0567805851078,1461.0567805851078,285.74465398059226
174,303.6677677632557,112.15427852565254,1200.901995968476,1200.901995968476,372.38846016220646
175,358.6443216824163,92.47225051648007,1098.422325814257,1098.422325814257,413.652546397928
176,408.1517239263768,83.77510771198719,1078.3525856222743,1078.3525856222743,650.8225571962063
177,456.68589058034274,149.992043054313,1656.6222350148469,1656.6222350148469,487.68600313564207
178,484.58599188011215,135.30283987443468,1567.0087108755897,1567.0087108755897,579.2619905406715
179,569.7943906746156,122.71931587359681,1428.8296017897933,1428.8296017897933,561.8973558192876
180,563.4767627903532,74.26335231258433,1157.5835812910277,1157.5835812910277,389.132700144496
181,528.6079502611817,132.95406033627555,1326.332312278835,1326.332312278835,507.1556474475521
182,509.30087772891505,119.87317733078429,1468.2862963751893,1468.2862963751893,402.1571039236652
183,412.8714813041902,108.95729733575835,1284.5298599902571,1284.5298599902571,451.10399118991353
184,447.28074020134125,98.44389270103974,1136.3879891086194,1136.3879891086194,514.1001645031779
185,480.69045235225957,91.9404746460276,1216.2142495204803,1216.2142495204803,636.0971474758749
186,496.2311218646211,96.73302974255022,1270.0953598050228,1270.0953598050228,328.86997068583116
187,462.7588916288632,111.59538622274293,1243.9265951880636,1243.9265951880636,487.3743494954577
188,484.9128037087982,89.76861813552625,1203.0617487930083,1203.0617487930083,575.679351946193
189,503.0661133562772,81.19092836272105,1152.5935402580456,1152.5935402580456,519.732041855342
190,511.39907760580957,37.47614989480789,811.2082767642727,811.2082767642727,531.8103142007005
191,513.4402012652987,35.56554619886729,797.9645708562371,797.9645708562371,416.80640717809047
192,494.11344244785704,56.43629073431693,945.6037683223924,945.6037683223924,422.2897348163312
193,479.7487009215519,56.53855827140731,932.0571670928105,932.0571670928105,635.7325849744157
194,526.543866137411,61.80357432796705,959.1688864331803,959.1688864331803,634.730264203819
195,558.9997855573333,68.76702648722639,1109.1359974551444,1109.1359974551444,555.43394746484
196,558.643201748084,55.65547204642992,1003.8869781195234,1003.8869781195234,410.21189026625274
197,543.8000705999009,125.79490950492634,1424.3644371343853,1424.3644371343853,546.3240572548184
198,546.0716585893267,88.13215625309593,1162.9967523609982,1162.9967523609982,394.2735941470136
199,530.8918521450954,107.52659695109027,1391.1046277538176,1391.1046277538176,553.7612082931701
200,542.3265302191328,30.65306184944786,726.24490131582,726.24490131582,519.7579884913249
201,535.5559677007905,24.711028793454936,733.24419804843,733.24419804843,625.6061779364226
202,544.5609887243537,58.51152504462329,1012.6531890813401,1012.6531890813401,483.5802174774139
203,532.3648344749658,57.538834239916156,992.6755083942951,992.6755083942951,423.09305991447457
204,521.4376570189168,90.18344453153699,1152.7217687396756,1152.7217687396756,594.5803410678701
205,543.3804622336027,86.28508796181004,1233.661165928083,1233.661165928083,332.91918084370275
206,480.2420778166327,122.90777336848197,1463.5042647644884,1463.5042647644884,545.9850905766732
207,532.8364880246651,111.93185628683459,1428.2913383193418,1428.2913383193418,508.80055419461166
208,511.204147577617,100.97902999645167,1218.0573575527787,1218.0573575527787,501.7131498028542
209,507.4077484677118,43.808371197495234,857.8747180476737,857.8747180476737,701.8852122052704
210,546.3032412152236,133.2272510315365,1478.893998435979,1478.893998435979,537.125257570134
211,543.5498461216966,120.54698478353912,1507.9257243900097,1507.9257243900097,403.8692189649146
212,501.645657974662,118.26993020615996,1447.8050996239417,1447.8050996239417,656.7608441469982
213,548.1802138263629,112.45635027484519,1335.3746657502793,1335.3746657502793,662.2134803970944
214,593.7935204546554,108.05271124160457,1458.2152103874919,1458.2152103874919,584.1035417229967
215,589.9175289619919,97.82883884134364,1372.548239692741,1372.548239692741,432.6855823825718
216,574.19433430405,102.1968301493571,1289.5721453495498,1289.5721453495498,582.8589873108956
217,575.9272649054192,92.67031937496903,1317.2898199051715,1317.2898199051715,567.3897082936518
218,573.365997921889,84.00091640029585,1245.3733291242556,1245.3733291242556,482.59049191716866
219,537.0557955200009,81.04735512054948,1104.3872813638473,1104.3872813638473,557.9955242990956
220,539.1497683979103,56.1667154328038,988.4834918603407,988.4834918603407,488.2597341133246
221,534.0607649694517,48.910736229130116,876.4359185733625,876.4359185733625,446.3348818786624
222,507.74300004221493,60.15837997011032,928.8516598329871,928.8516598329871,503.428692810935
223,507.31156931908697,43.27572893152281,810.2416718397467,810.2416718397467,358.5364300969028
224,492.4340553968686,115.7732460262772,1418.6200236070863,1418.6200236070863,312.7755662379021
225,348.7072640696954,99.80493638738042,1147.1467551687388,1147.1467551687388,429.251992332847
226,421.1975195065319,90.6298900312739,1146.236639756723,1146.236639756723,409.7597763911387
227,417.7661965719139,49.31815510602455,812.3114374201102,812.3114374201102,516.9553978819682
228,427.68511670291934,85.27506857174644,1109.885665276891,1109.885665276891,491.12857055723566
229,440.3738074737826,64.56288527877041,956.8768897039458,956.8768897039458,595.113056509908
230,486.79558218462023,103.94201542063604,1318.3317055497087,1318.3317055497087,499.0082797454098
231,491.6806612089361,94.28057573221982,1245.9252670666947,1245.9252670666947,568.5952424370862
232,514.7550355773811,90.23653884496835,1236.647346337128,1236.647346337128,376.3776392191508
233,500.9172959415581,93.66685063271224,1250.252101003256,1250.252101003256,528.3770626935491
234,517.3931559927527,85.39855623952066,1115.1830496693974,1115.1830496693974,330.69187791793956
235,442.7126447628274,98.70966154220423,1232.3899371004613,1232.3899371004613,547.3708933657981
236,505.5075939246098,93.02502533210263,1156.6827712493282,1156.6827712493282,413.6861898238899
237,496.3254535145378,91.98644916795716,1232.217046858195,1232.217046858195,469.23027499857636
238,493.6159356629417,85.22637031759798,1175.4268982037256,1175.4268982037256,583.5149588441537
239,538.5654472535477,81.19868444489879,1188.154922812738,1188.154922812738,629.1899043551764
240,547.6278929637107,81.45301330749564,1199.251999423676,1199.251999423676,619.3941831105714
241,554.8045219783968,79.76667808996353,1192.937946698105,1192.937946698105,392.11051177525894
242,538.535120958083,119.76143674567983,1496.6266149235216,1496.6266149235216,610.6259428402848
243,574.5805318991838,111.38983416522194,1465.6992052209594,1465.6992052209594,491.57295292334095
244,549.6782582064309,106.06138127700873,1398.1693084225008,1398.1693084225008,503.6988553283673
245,535.8844373430118,98.67380135077231,1325.2748481491903,1325.2748481491903,679.8404824725169
246,579.0712508818633,99.93105949470109,1378.519726839472,1378.519726839472,429.6051131095873
247,519.284795772953,98.90592181156755,1211.6262484539259,1211.6262484539259,479.9636066350629
248,511.420557945375,92.16102476144201,1248.708756036911,1248.708756036911,738.8211037126712
249,556.9006670988342,101.1369659466815,1365.9963946722862,1365.9963946722862,572.7412024727117
250,563.2368812483852,91.97370147444602,1207.0527915695075,1207.0527915695075,549.4876413203049
251,561.8619572555772,84.01376292052865,1233.9720606198064,1233.9720606198064,405.50401333068527
252,546.226162863088,129.38047221002793,1581.2699405433113,1581.2699405433113,498.25220199770627
253,527.0365785169354,119.32086264094805,1481.6034796445197,1481.6034796445197,665.522638213303
254,554.7337904562089,118.46766115256266,1502.4750796767103,1502.4750796767103,359.1847451147481
255,515.6239813879167,122.26481866462326,1493.742530704903,1493.742530704903,523.4037430080201
256,521.0698145219891,110.27172964676404,1403.2436516961016,1403.2436516961016,251.61215194833827
257,440.2325157498938,118.1065930622432,1385.0852602478394,1385.0852602478394,425.3738542317986
258,426.85972038360813,106.44452037119984,1278.415883353207,1278.415883353207,374.07013926975793
259,411.02284604945305,99.49533901204939,1107.4902191337987,1107.4902191337987,595.3285271532911
260,503.1756866013721,98.02683932002333,1287.3904011615587,1287.3904011615587,357.15302920938416
261,488.5734208621733,124.74168118623598,1486.506870352061,1486.506870352061,574.5524330571693
262,565.9545318376697,113.12730318956234,1470.9729573541686,1470.9729573541686,446.76656018879794
263,542.1169375078954,111.34961060251585,1432.9138223280222,1432.9138223280222,385.99741592472895
264,510.89303319126213,112.70421126891759,1412.526723342603,1412.526723342603,541.0172439584344
265,519.9302964214138,103.54248489572788,1348.2701755872367,1348.2701755872367,501.81789629755514
266,514.4965763842562,94.4561044148252,1270.145411702858,1270.145411702858,555.3078796741966
267,522.6588370422443,45.01045498852687,837.7320219619323,837.7320219619323,510.4954275647361
268,520.2261551467427,13.258700322658658,626.295757728012,626.295757728012,522.9168738559083
269,520.4952270176593,4.589057535130922,557.2076872987067,557.2076872987067,335.4403540615001
270,501.9897397220434,150.35335284800206,1554.4632096580578,1554.4632096580578,441.4909175087441
271,483.8400930580536,139.5529351181328,1600.263574003116,1600.263574003116,474.18391694633243
272,482.87447544688143,126.46669745637443,1494.6080550978768,1494.6080550978768,388.8465348385341
273,435.8605051427078,118.52142474115436,1384.0319030719427,1384.0319030719427,371.5227293085199
274,397.25783964219505,109.24279330040643,1271.2001860454466,1271.2001860454466,539.5265426908624
275,511.0728020811289,93.08498276227185,1255.7526641793038,1255.7526641793038,609.0478178146968
276,540.4653068011993,88.184488412517,1245.9412141013354,1245.9412141013354,611.5067447926762
277,547.569450600347,85.75976899049823,1233.6476025243328,1233.6476025243328,449.7567249446837
278,537.7881780347807,85.9869374004581,1225.6836772384454,1225.6836772384454,586.9454782642955
279,552.5353681036352,80.82925467647833,1199.1694055154617,1199.1694055154617,562.6031326712457
280,553.5421445603962,73.65242801991545,1142.76156871972,1142.76156871972,565.5271698401907
281,554.7406470883757,67.3658374931054,1026.3015095401136,1026.3015095401136,404.84634239923093
282,539.7512166194613,128.15097054751783,1436.8080104520861,1436.8080104520861,544.7328830177327
283,541.2457165389426,103.21820973377228,1366.9913944091209,1366.9913944091209,429.5045470256988
284,530.0715995876183,102.953094016587,1353.6963517203144,1353.6963517203144,294.9993437783555
285,506.564374006692,113.81428763776195,1417.0786751087876,1417.0786751087876,501.93215663310536
286,505.6379305319747,102.80343626387268,1328.0654206429563,1328.0654206429563,379.0823580589569
287,480.32681603737115,102.64753843532685,1301.507123519986,1301.507123519986,534.4898148704208
288,496.575715687286,96.17419451010764,1265.969271768147,1265.969271768147,433.3675601545517
289,439.6883757078252,87.18885661442422,1137.199228623219,1137.199228623219,477.066703779976
290,450.90187412947034,81.08645391803238,1099.5935054737292,1099.5935054737292,498.74924266257074
291,455.6866109827804,73.48168947038397,1043.5401267458521,1043.5401267458521,529.4674039625063
292,463.064690280753,72.77379189152091,972.4812335213994,972.4812335213994,543.485171807339
293,471.1067384334116,72.65518433624288,761.7274757783831,761.7274757783831,350.6031710604848
294,459.05638169611893,104.87340800569501,1193.170237735984,1193.170237735984,459.64471098280126
295,459.11521462478714,94.43901684092693,1214.6273493522026,1214.6273493522026,457.13335142983357
296,458.91702830529175,85.17348284438005,1055.131408215952,1055.131408215952,654.3406247661287
297,478.4593879513755,121.4565844325293,1450.1120634116098,1450.1120634116098,393.70987011396903
298,461.50948438389423,116.09088741626888,1390.2365837140453,1390.2365837140453,584.254786040862
299,510.60760504668133,111.84651677406006,1405.3797392391618,1405.3797392391618,558.1195287355023
300,515.3587974155635,104.93793822864794,1354.862303244747,1354.862303244747,454.40187481180084
