avg_rcpt,avg_rcpt_var,avg_bct,std_bct,label,alpha,beta,K,utility_value,feature_extraction_overhead (s),training_overhead (s),inference_overhead (s),compute_utility_overhead (s),episode_duration (s)
252.0192,195.83784,412.0,25.298221281347036,0.0,0.1,0.1,4.0,0.00011674069438007033,0.000611,0,0,6e-06,0.0
445.66660056256006,251.791687671264,492.0,25.298221281347036,0.0,0.2,0.8,6.0,0.00016744332129391468,0.000418,0.124498,0.005903,0.000119,0.0
544.4080611179176,100.6858718819901,572.0,25.298221281347036,0.0,0.9,0.6,9.0,0.00022236109091182274,0.000535,0.125377,0.005944,0.000185,1e-06
649.0372212618729,13.286134637757783,652.0,25.298221281347036,0.0,0.9,0.5,9.0,0.00010440584627092477,0.00049,0.123424,0.008,8.2e-05,1e-06
715.5847749590147,2.148186769227694,732.0,25.298221281347036,0.0,0.8,0.7,8.0,0.00010175311800553728,0.000568,0.14902,0.009975,9e-05,1e-06
799.5620044192974,6.061770810212021,812.3030444258525,27.878978470972886,0.0,0.9,0.8,9.0,0.00019705146163022727,0.000621,0.118571,0.005653,0.000115,1e-06
807.9799994430712,4.763281158174437,789.5147548062473,33.12293630980576,0.0,0.9,0.8,9.0,0.00010333876118522537,0.000688,0.196004,0.007088,0.000181,1e-06
799.3404511883768,1.5559820928617583,797.3497699302123,16.608268457476935,0.0,0.9,0.9,9.0,0.00012300301754901503,0.000739,0.128799,0.006555,0.000128,0.0
795.9065198212095,2.599358461956338,794.2771564269744,18.664592505513586,0.0,0.1,0.9,9.0,0.00012157083431246199,0.00063,0.174246,0.00725,0.000102,1e-06
808.2373484387853,70.35699540600667,750.9860580977565,28.86986715510147,0.0,0.9,0.6,7.0,0.00017223788824852074,0.011488,0.143191,0.00807,0.000249,2e-06
761.4709031490628,29.242423603874872,708.5714285714286,22.587697572631285,0.0,0.9,0.9,9.0,0.00024200842453645923,0.000647,0.154697,0.007621,0.000127,1e-06
660.3670127429201,3.473041772627563,637.1428571428571,22.587697572631267,0.0,0.5,0.8,8.0,0.00021063448203948137,0.000585,0.120653,0.007413,0.000103,1e-06
595.1849155465518,11.316075648805255,565.7142857142857,22.587697572631267,0.0,0.7,0.7,8.0,0.00021848335506212556,0.000656,0.154479,0.007679,0.000199,2e-06
556.1986324697481,29.875770847376998,494.2857142857143,22.587697572631285,0.0,0.6,0.6,8.0,0.00023663342220812334,0.000938,0.137503,0.013906,0.000124,1e-06
481.42354541535593,30.81775143936249,422.85714285714283,22.587697572631267,0.0,0.6,0.6,8.0,0.00023334192748871157,0.001371,0.20106,0.005869,0.000174,1e-06
431.47036514195844,38.73103422079798,392.18257759152414,22.409534178923263,0.0,0.7,0.5,8.0,0.0002228816401296568,0.000537,0.112302,0.005273,8.2e-05,1e-06
434.8706170402242,29.501444025550803,385.6253879077424,25.0303338008351,0.0,0.9,0.6,8.0,0.0003365597462616251,0.000805,0.100196,0.005872,0.000222,1e-06
409.7065147943204,12.996523843270712,370.6581109177802,19.46239356523058,0.0,0.6,0.9,9.0,0.0003120296171466367,0.000639,0.111385,0.006068,0.000208,1e-06
424.5759863194246,12.770106441580952,443.15789473684214,33.28713326493031,0.0,0.8,0.9,8.0,0.00019520898839496583,0.000551,0.099178,0.006433,7.1e-05,1e-06
525.55097109793,5.872895196710315,548.421052631579,33.28713326493034,0.0,0.6,0.6,6.0,0.0002083707229016038,0.000867,0.113991,0.006555,0.000117,1e-06
624.326226573935,10.168521229398081,653.6842105263158,33.287133264930304,0.0,0.6,0.9,8.0,0.0001925409893574877,0.000684,0.105803,0.006509,7.1e-05,1e-06
739.6728670060292,17.43436857776705,752.6493692093063,25.365526328188647,0.0,0.2,0.6,4.0,0.0001283774822611255,0.000706,0.109172,0.005921,6.6e-05,1e-06
792.7810423367472,22.95783381587396,755.5341169916967,99.61488663486676,0.0,0.4,0.9,9.0,3.5179837684767875e-05,0.000557,0.10429,0.005884,6.3e-05,1e-06
889.7840745482442,489.42278194373677,367.36719811908256,11.672520023193032,0.0,0.9,0.5,9.0,6.155446910008362e-05,0.000602,0.117689,0.00715,0.000172,1e-06
907.6217766051577,177.45381505703358,372.17593344477604,28.236205556092457,0.0,0.1,0.7,8.0,2.9392448530226343e-05,0.018662,0.110009,0.006522,0.000136,1e-06
864.2820587276267,645.6148894958634,373.7691526589023,19.289055485700413,0.0,0.9,0.9,8.0,7.543548249256853e-05,0.000744,0.105749,0.006191,0.000142,1e-06
542.7716802897621,249.92637580604062,375.1009181715346,12.423721980176483,0.0,0.8,0.6,8.0,0.0004133190050916322,0.000852,0.096748,0.006,9.4e-05,1e-06
382.2336389869015,2.7392163320216945,373.09358011502076,7.814624145838267,0.0,0.9,0.5,9.0,0.00019113903855686305,0.000664,0.115541,0.004751,0.000142,1e-06
390.3429438900763,1.4375966475051887,400.7474148718222,30.463940286359648,0.0,0.6,0.6,7.0,0.0002135054987042154,0.000841,0.113553,0.006599,7.9e-05,1e-06
474.64632413150423,11.215961553367759,500.0,31.622776601683793,0.0,0.8,0.6,7.0,0.0002667449829816486,0.00055,0.109494,0.005731,7.9e-05,1e-06
578.7444720376923,6.8763384208250775,600.0,31.622776601683793,0.0,0.9,0.7,7.0,9.442191963649275e-05,0.000486,0.102391,0.007108,6.1e-05,0.0
677.058431148609,2.914015554623151,700.0,31.622776601683793,0.0,0.2,0.9,9.0,0.00015791854529024327,0.000501,0.11967,0.006823,6.9e-05,1e-06
744.9592511403819,18.35994410425109,764.2961756222829,22.486735653272948,0.0,0.9,0.8,9.0,0.00014206418872820967,0.000505,0.119538,0.007107,7.5e-05,1e-06
774.6727307334095,53.05962022970375,741.9047619047619,30.116930096841692,0.0,0.5,0.8,9.0,0.00017507544227705885,0.000512,0.109619,0.00555,6.1e-05,1e-06
705.8966402744775,30.308066855784627,646.6666666666666,30.116930096841745,0.0,0.9,0.9,9.0,0.00022673294006016637,0.000513,0.099488,0.005843,6.5e-05,1e-06
603.5666157081042,15.765381582791882,551.4285714285714,30.116930096841728,0.0,0.7,0.8,8.0,0.000259132899308438,0.000634,0.113201,0.005877,9.7e-05,1e-06
490.20725111033033,8.673747433793345,456.1904761904762,30.116930096841706,0.0,0.9,0.1,9.0,0.0002948969653797083,0.000503,0.10914,0.006544,6.2e-05,1e-06
424.4572784021355,17.639740085299866,375.51066598622975,20.856671278900134,0.0,0.9,0.9,9.0,0.0003921199496174744,0.000525,0.111765,0.005388,6.5e-05,1e-06
391.1143631462481,4.177090316957678,383.25837493168297,18.00339995632851,0.0,0.9,0.2,9.0,0.0003998368772486872,0.000763,0.098779,0.006812,8.2e-05,1e-06
379.93837725617414,3.996527574553278,371.82532881665423,9.929489587221896,0.0,0.8,0.2,6.0,0.00024936168303941114,0.000726,0.120754,0.005618,0.000148,1e-06
382.38687766855844,3.7389231742536686,374.88504296741525,21.02871467798494,0.0,0.9,0.3,9.0,0.0003865857399979558,0.000509,0.108723,0.007163,6.9e-05,1e-06
412.06463842818823,2.5708372372874826,397.53198442069396,18.4093824243498,0.0,0.9,0.1,9.0,0.00038233833331213296,0.000613,0.112119,0.005656,0.000175,1e-06
414.6094683843348,2.402840554140079,432.17391304347825,27.49806661015983,0.0,0.9,0.2,9.0,0.00015708256691835418,0.000802,0.101106,0.006468,0.000143,1e-06
499.8880897200542,2.1498354807938864,519.1304347826087,27.49806661015982,0.0,0.8,0.1,9.0,0.0001278058183985314,0.000652,0.111961,0.00567,8.6e-05,1e-06
584.7531745795277,2.411914463227423,606.0869565217391,27.498066610159803,0.0,0.7,0.8,8.0,0.00022651470011668948,0.000502,0.104719,0.005835,0.000134,1e-06
674.4041508521539,7.417853967647161,693.0434782608695,27.49806661015982,0.0,0.8,0.1,7.0,0.0001424333527819652,0.000583,0.112776,0.006009,9.4e-05,1e-06
751.9576816073987,3.6697224275885523,769.4674120238279,27.341140914491515,0.0,0.5,0.1,8.0,0.00019650058759323964,0.000531,0.105361,0.005599,6.3e-05,1e-06
798.3076867180471,6.782127050182211,794.1632912108654,19.365023275143354,0.0,0.7,0.8,8.0,0.0001582337025660456,0.000646,0.11561,0.006195,0.00027,1e-06
810.569569523189,12.984555139648192,798.1910708338015,21.361045190592428,0.0,0.4,0.7,6.0,0.00014639646819513164,0.000538,0.150231,0.006225,7.2e-05,1e-06
836.9138406576911,51.919487561478476,781.4058200735166,42.175330997801346,0.0,0.7,0.2,8.0,0.00012184125628791567,0.000536,0.110633,0.005734,6.2e-05,1e-06
837.4349528885124,74.30344847209442,680.0,52.70462766947301,0.0,0.9,0.9,9.0,0.00020738507184985726,0.000553,0.099304,0.007001,6.5e-05,1e-06
595.624666962253,26.62105465715079,513.3333333333333,52.70462766947299,0.0,0.9,0.1,6.0,0.00023062135799893955,0.000499,0.111728,0.005237,6e-05,1e-06
419.592478950274,4.463685579783876,388.0941818657682,26.988503154125222,0.0,0.8,0.2,9.0,0.0003569202381958102,0.000573,0.102066,0.00573,0.000138,1e-06
417.6330794541259,5.954940663546849,401.71842250070404,22.04742326095476,0.0,0.7,0.9,9.0,0.0002904894658529696,0.00077,0.117165,0.005205,0.000114,1e-06
419.61916675235767,18.344953552380737,390.12217704265237,21.731026940913875,0.0,0.9,0.3,9.0,0.00017468931326416836,0.000518,0.107572,0.006996,0.000142,1e-06
412.605460960134,7.410772471972493,429.836277109021,70.25342707011207,0.0,0.5,0.2,9.0,0.00012580146399177443,0.000493,0.11076,0.005422,6.5e-05,1e-06
638.3286399210577,22.917830756137022,739.791793216333,78.75507242273065,0.0,0.7,0.3,8.0,0.00013480694968138495,0.000533,0.113287,0.007394,0.000151,1e-06
864.3820720685314,49.01611258169214,778.0861252814991,28.227884320899204,0.0,0.5,0.1,9.0,0.00012280214436865248,0.000585,0.116752,0.006211,6.7e-05,1e-06
881.7079966094519,56.512667872036516,790.3437041733956,30.834067647639966,0.0,0.7,0.9,9.0,0.0001457973934193162,0.000526,0.107722,0.005949,6.7e-05,1e-06
831.9647641476662,38.563612320423864,779.6240058328584,19.01870018444697,0.0,0.9,0.1,8.0,0.0001680934817844488,0.000776,0.109245,0.006163,0.000123,1e-06
795.0541298299948,7.408177335234563,769.0798780335749,27.202592137345512,0.0,0.6,0.8,8.0,0.0001977325055586474,0.000913,0.101983,0.006,0.000104,0.0
799.0721204414924,5.882783623941024,801.7454484503587,28.76116095086446,0.0,0.5,0.1,9.0,0.00017902298028910142,0.000621,0.111728,0.005642,8.9e-05,0.0
705.0821053729414,26.738067432052958,503.77791794796167,126.24574422814877,0.0,0.6,0.8,7.0,0.00016836872988644936,0.000493,0.108033,0.006299,6.5e-05,1e-06
477.04577010240115,76.84987573734406,373.43384176800333,18.68520526025715,0.0,0.4,0.9,6.0,0.0002419557496132677,0.00059,0.112544,0.005489,7.5e-05,1e-06
404.97710819536115,37.07399904463491,377.52087420061747,21.32199383711405,0.0,0.9,0.9,9.0,0.00038612723631074403,0.000719,0.104485,0.006373,7.9e-05,1e-06
380.60172161381723,9.572562655321914,371.853533063581,18.33686462075381,0.0,0.9,0.9,9.0,0.0001370858870900636,0.000818,0.117831,0.006531,0.00014,0.0
432.40225160378685,4.671497578649492,511.51581144297097,169.82914519349794,0.0,0.9,0.6,7.0,0.00019277024449097644,0.000602,0.108672,0.006611,7.3e-05,0.0
789.1477311467244,10.018190847754251,762.9689535287364,29.991109327344024,0.0,0.3,0.9,4.0,0.00017265086659004847,0.000567,0.112026,0.007034,6.6e-05,1e-06
757.3205159186768,19.930412956069958,801.6083369574221,11.634365309150768,0.0,0.1,0.9,8.0,0.00015497330336924618,0.000524,0.100643,0.006567,6.6e-05,1e-06
792.2916375435344,43.39702288332651,765.0201998476379,20.3047815960342,0.0,0.9,0.9,9.0,0.00019399151823684807,0.000523,0.114014,0.00599,6.4e-05,1e-06
776.416687080648,11.57028344200211,763.1362982880199,15.428498991955818,0.0,0.9,0.1,3.0,9.00948532710516e-05,0.000552,0.101304,0.006462,7e-05,0.0
735.4583725163985,2.0429590454895323,754.4853142981713,35.199686280216724,0.0,0.5,0.9,8.0,0.0001645653327815204,0.000595,0.114935,0.005048,6.8e-05,1e-06
754.1585912255223,14.808523140460416,713.3333333333334,52.70462766947299,0.0,0.6,0.1,6.0,0.00012467419799315794,0.000641,0.100238,0.00581,0.000129,1e-06
727.6633476341664,101.28787327009262,546.6666666666666,52.70462766947298,0.0,0.9,0.8,9.0,0.00023162619705481303,0.00049,0.114178,0.006212,6.1e-05,1e-06
486.9300747481348,37.55917890333299,403.21380639606167,31.75015947004906,0.0,0.9,0.5,6.0,0.0002822138273581325,0.000593,0.102668,0.006409,9.5e-05,1e-06
378.9502603669007,3.9937896946507,373.1603772167552,16.726756053869867,0.0,0.9,0.7,8.0,0.0002437899321122077,0.000775,0.110154,0.005574,8.8e-05,0.0
400.5922506976592,1.6535298659314934,399.6940490906889,17.09078699869666,0.0,0.8,0.1,9.0,0.0002661144511813395,0.000519,0.105748,0.005338,8.4e-05,2e-06
402.44859328595015,2.6543401108359044,387.1459753487557,12.66363189765013,0.0,0.8,0.2,9.0,0.0003913735866426415,0.000648,0.109185,0.004964,0.000125,1e-06
385.8627715999683,4.645198815688894,371.2098445259393,15.106237443235736,0.0,0.4,0.3,9.0,0.00034346315830041516,0.000722,0.107162,0.005896,9.7e-05,1e-06
394.9320199242857,10.91732791758019,382.4114389309547,16.075454075784794,0.0,0.8,0.8,6.0,0.00028695956091182934,0.000688,0.115311,0.005583,0.00011,1e-06
410.0185785427064,15.360205719164876,384.51420886690556,12.006429559885976,0.0,0.8,0.7,9.0,0.00023394609951340485,0.000557,0.109641,0.006302,8.2e-05,1e-06
448.2884271063855,5.9125378360359235,474.11764705882354,37.20326659021624,0.0,0.8,0.9,9.0,0.0002701588248808588,0.000606,0.115067,0.007722,0.000107,1e-06
567.4494749213586,5.572848760162743,591.7647058823529,37.203266590216224,0.0,0.8,0.6,7.0,0.00023198652670054198,0.000607,0.11,0.007297,7.1e-05,1e-06
681.918726037477,5.610429642301982,709.4117647058824,37.20326659021624,0.0,0.8,0.9,9.0,0.00016845522265612062,0.000525,0.114655,0.0055,9.8e-05,1e-06
783.3847676278757,9.076286430469183,785.4907501370283,36.657453081955126,0.0,0.8,0.6,7.0,0.00019432309183363557,0.000847,0.109643,0.005919,8.4e-05,1e-06
785.6886450955672,10.786425352861265,772.1811421010907,23.762865009299432,0.0,0.8,0.8,8.0,0.00020396443414376152,0.000814,0.115017,0.006115,8.6e-05,1e-06
779.5383601771273,5.257298745596428,761.8091898034095,23.825683334100773,0.0,0.9,0.5,8.0,0.0002252207015785156,0.000505,0.098421,0.005929,6.1e-05,1e-06
691.5927006696271,5.917479610158993,646.6666666666666,42.16370213557842,0.0,0.9,0.3,6.0,0.00024587925932244287,0.000655,0.11706,0.007946,7.7e-05,2e-06
555.6196957328439,4.51206095017675,513.3333333333333,42.16370213557838,0.0,0.8,0.1,9.0,0.0003514484302457197,0.000716,0.116331,0.007501,0.000143,1e-06
438.15634486636816,5.096972746480355,389.35206944512584,31.432753736398762,0.0,0.7,0.9,9.0,0.00028536575384351093,0.000891,0.134443,0.006344,0.000117,1e-06
367.18453979421105,2.5686098267150093,376.0195374270824,15.684827036172965,0.0,0.9,0.5,8.0,0.00036491206633591295,0.000603,0.114317,0.006489,7e-05,1e-06
406.4962085646325,6.047624600981477,382.11066514114475,26.650584813904885,0.0,0.9,0.1,5.0,0.00011699441560778653,0.000586,0.112663,0.006557,7.3e-05,1e-06
521.1645530060804,3.2235277298334557,620.0,126.49110640673517,0.0,0.9,0.4,6.0,0.00014544904096297276,0.000469,0.131115,0.00625,6.6e-05,2e-06
759.2945399193901,3.2389019691361005,769.353640404499,5.5374635650156705,0.0,0.9,0.5,8.0,0.00013838680445450998,0.000658,0.109168,0.005182,9.2e-05,1e-06
784.8156203785755,4.4923341424012335,769.6569465808994,41.13411471305637,0.0,0.8,0.5,9.0,0.00013287249547342308,0.000573,0.10186,0.006374,6.5e-05,1e-06
787.5363480995175,8.890395316999921,782.7566424233133,16.163643074529205,0.0,0.9,0.2,9.0,0.00017213003156773223,0.000653,0.120164,0.005994,0.000127,1e-06
777.566084421667,6.351396275481452,765.6793727494169,32.38675200419087,0.0,0.8,0.3,9.0,0.00020710170182864634,0.000807,0.124538,0.007016,0.000303,1e-06
767.0776473149372,4.4833783771881235,765.9326583191834,14.459357736255775,0.0,0.8,0.8,7.0,0.0002095874315900852,0.000893,0.136051,0.007025,0.000162,1e-06
756.2964595490596,5.8773059510893155,722.8571428571429,30.116930096841692,0.0,0.8,0.8,9.0,0.00022434667798233704,0.000508,0.146048,0.00696,9.4e-05,1e-06
666.6849688868341,9.285420276894088,627.6190476190476,30.116930096841728,0.0,0.8,0.4,9.0,0.0002228254065104286,0.000693,0.156265,0.006453,0.000106,1e-06
571.845548755977,8.65604366265137,532.3809523809524,30.116930096841728,0.0,0.9,0.3,6.0,0.00031339762177662046,0.00055,0.157767,0.008806,6.7e-05,2e-06
486.79789667903185,8.246726144770658,437.14285714285717,30.116930096841717,0.0,0.5,0.5,9.0,0.0002748300153227493,0.000769,0.162479,0.00851,0.000189,0.0
406.74893087119983,24.34256225707543,375.45924760730475,19.51759901171434,0.0,0.6,0.4,9.0,0.00023222745138864705,0.0006,0.16818,0.006388,0.000118,1e-06
417.27310779094967,36.483676098104816,377.47551956813794,34.20318117153968,0.0,0.3,0.2,9.0,0.00014911316649749356,0.000815,0.353389,0.005708,0.000263,0.0
438.5321785640086,62.75555477483625,378.8974768137125,9.862661408078383,0.0,0.6,0.7,6.0,0.0001863633148288901,0.000752,0.11934,0.006567,0.00013,1e-06
467.8427821632286,69.71931661420227,381.00556240110706,31.472329634077713,0.0,0.5,0.9,9.0,0.0002491847503264388,0.000695,0.141419,0.008403,0.00012,1e-06
418.64807501245394,34.48600576462377,390.3898260045971,20.05793965702812,0.0,0.8,0.1,5.0,0.0002628922120080486,0.000589,0.111501,0.005362,6.7e-05,1e-06
394.9248209204251,6.53654514195486,392.74586565472543,24.645186721932053,0.0,0.3,0.2,8.0,0.0002746097351313693,0.00066,0.117154,0.027825,0.000147,3e-06
430.65937040905663,11.355189873379038,460.0,63.245553203367585,0.0,0.4,0.3,6.0,0.00018549069379542689,0.001012,0.174368,0.006754,0.000201,3e-06
584.0973488559365,50.32049410801543,660.0,63.245553203367585,0.0,0.9,0.5,9.0,0.00016618644183404916,0.000537,0.129978,0.006042,0.00012,1e-06
794.9843411129656,29.220735178318417,780.2319048415061,23.449415266758077,0.0,0.5,0.9,8.0,0.00018422723859863507,0.000649,0.130984,0.007659,9.4e-05,1e-06
793.6929529146215,15.350365337216635,785.4309861973248,33.30162542948159,0.0,0.1,0.3,7.0,0.00011967080228018235,0.000547,0.117138,0.005065,0.0001,1e-06
814.0567137626645,58.93563961699928,699.208244997439,179.01959809370416,0.0,0.9,0.8,8.0,0.00022876364906035157,0.000941,0.115699,0.007109,0.000219,1e-06
472.53874937855136,43.77627991787904,369.57001579982,17.184685539102347,0.0,0.9,0.3,4.0,0.000212144423989334,0.00058,0.144114,0.005485,0.0001,1e-06
384.5415836599173,0.908909300910652,396.6080509041834,19.26886430090156,0.0,0.9,0.4,7.0,0.00012092631188374619,0.000533,0.181566,0.006568,7.1e-05,1e-06
448.66096779411697,1.4543504932854414,465.7142857142857,22.587697572631267,0.0,0.7,0.1,9.0,0.0001444883530857937,0.000591,0.118479,0.006551,6.3e-05,1e-06
517.1090861378195,2.274265606709189,537.1428571428571,22.587697572631303,0.0,0.8,0.2,5.0,0.00010874715064470775,0.000578,0.125776,0.006595,6.8e-05,1e-06
591.1904306299031,3.486080684032847,608.5714285714286,22.587697572631267,0.0,0.5,0.1,9.0,0.00016237932333998392,0.000658,0.114278,0.006046,0.000141,1e-06
658.1682644924424,5.133045227966012,680.0,22.587697572631285,0.0,0.9,0.6,8.0,0.00010843363787794892,0.000675,0.109553,0.007175,7.8e-05,3.3e-05
737.068441751336,3.766246613532133,751.4285714285714,22.587697572631285,0.0,0.7,0.9,8.0,0.00016974268120310414,0.000819,0.139487,0.009238,0.000141,1e-06
